,tin,mahalla,mahalla_code,viloyat,tuman,sektor,coato,region_id,district_id
3943,202773678,MUQIMIY,7082,Toshkent viloyati,Olmaliq shahar,4,1727404,10,176
3944,202773646,OLTIN,7086,Toshkent viloyati,Olmaliq shahar,4,1727404,10,176
3945,202773789,ZARBULOQ,7087,Toshkent viloyati,Olmaliq shahar,4,1727404,10,176
3946,202767519,BOBUR,7088,Toshkent viloyati,Olmaliq shahar,4,1727404,10,176
3947,202773582,RAMAZON,7090,Toshkent viloyati,Olmaliq shahar,4,1727404,10,176
3948,206992324,YOSHLIK,7151,Toshkent viloyati,Bekobod shahar,1,1727413,10,177
3949,202903142,BUNYODKOR,7146,Toshkent viloyati,Bekobod shahar,1,1727413,10,177
3950,202903103,MUQIMIY,7144,Toshkent viloyati,Bekobod shahar,1,1727413,10,177
3951,202912449,DOʻSTLIK,7152,Toshkent viloyati,Bekobod shahar,1,1727413,10,177
3952,202903127,METALLURG,7150,Toshkent viloyati,Bekobod shahar,1,1727413,10,177
3953,202907097,MAʻRIFAT,7154,Toshkent viloyati,Bekobod shahar,2,1727413,10,177
3954,202912377,TURKISTON,7157,Toshkent viloyati,Bekobod shahar,2,1727413,10,177
3955,202915301,SAMARQAND,7158,Toshkent viloyati,Bekobod shahar,2,1727413,10,177
3956,204053639,AFGʻON,6878,Toshkent viloyati,Chinoz tumani,4,1727256,10,130
3957,204055611,QOZI,9811,Toshkent viloyati,Chinoz tumani,4,1727256,10,130
3958,202982426,NURAFSHON,1755,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3959,204529219,OYTUGʻDI,1756,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3960,207210013,PAHLAVON,1757,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3961,203875810,TOBAGAR,1759,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3962,205588572,XOʻJAXAYRON,1760,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3963,204836264,ERONSHOX,1762,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3964,204529234,YANGIOBOD,1763,Buxoro viloyati,Jondor tumani,3,1706246,1,23
3965,204529186,NAVGADI,1768,Buxoro viloyati,Jondor tumani,4,1706246,1,23
3966,204836288,NAMGONI,1769,Buxoro viloyati,Jondor tumani,4,1706246,1,23
3967,202975892,OXSHIX,1771,Buxoro viloyati,Jondor tumani,4,1706246,1,23
