,код,район,центр,область,parent_id
153,1733221,Тупроккалинский район,г. Питнак,1733,12
154,1733223,Ханкинский район,гп Ханка,1733,12
155,1733226,Хивинский район,г. Хива,1733,12
156,1733230,Шаватский район,гп Шават,1733,12
157,1733233,Янгиарыкский район,гп Янгиарык,1733,12
158,1733236,Янгибазарский район,гп Янгибазар,1733,12
159,1735204,Амударьинский район,г. Мангит,1735,13
160,1735207,Берунийский район,г. Беруни,1735,13
161,1735209,Бозатауский район,гп Бозатау,1735,13
162,1735211,Караузякский район,гп Караузяк,1735,13
163,1735212,Кегейлийский район,гп Кегейли,1735,13
164,1735215,Кунградский район,г. Кунград,1735,13
165,1735218,Канлыкульский район,гп Канлыкуль,1735,13
166,1735222,Муйнакский район,г. Муйнак,1735,13
167,1735225,Нукусский район,гп Акмангит,1735,13
168,1735228,Тахиаташский район,г.Тахиаташ,1735,13
169,1735230,Тахтакупырский район,гп Тахтакупыр,1735,13
170,1735233,Турткульский район,г. Турткуль,1735,13
171,1735236,Ходжейлийский район,г. Ходжейли,1735,13
172,1735240,Чимбайский район,г. Чимбай,1735,13
173,1735243,Шуманайский район,г. Шуманай,1735,13
174,1735250,Элликкалинский район,г. Бустан,1735,13
175,1718406,Город Каттакурган,,1718,6
176,1727404,Город Алмалык,,1727,10
177,1727413,Город Бекабад,,1727,10
178,1714367,Янги Наманганский район,,1714,5
179,1718401,Город Самарканд,,1718,6
180,1714365,Давлатабадский район,,1714,5
181,1727401,Город Нурафшан,,1727,10
182,1714401,Город Наманган,,1714,5
183,1726292,Янгихаётский район,,1726,9
184,1724401,Город Гулистан,,1724,8
185,1708401,Город Джизак,,1708,2
186,1735401,Город Нукус,,1735,13
187,1730401,Город Фергана,,1730,11
188,1730405,Город Коканд,,1730,11
189,1730408,Город Кувасай,,1730,11
190,1710401,Город Карши,,1710,3
191,1706401,Город Бухара,,1706,1
192,1722401,Город Термез,,1722,7
193,1710405,Город Шахрисабз,,1710,3
194,1735250,Елликкалинский район,,1735,13
195,1703401,Город Андижан,,1703,0
196,1727407,Город Ангрен,,1727,10
197,1727419,Город Чирчик,,1727,10
198,1727233,Кия-Чирчикский район,,1727,10
199,1733401,Город Ургенч,,1733,12
200,1733221,Тупроққалинский район,,1733,12
201,1712408,Город Зарафшан,,1712,4
202,1712401,Город Навои,,1712,4
203,1706403,Город Каган,,1706,1
204,1712248,Город Учкудук,,1712,4
205,1730412,Город Маргилан,,1730,11
206,1727424,Город Янгиюль,,1727,10
207,1703408,Город Ханабад,,1703,0
208,1727415,Город Охангарон,,1727,10
209,1733406,Город Хива,,1733,12
210,1724413,Город Янгиер,,1724,8
211,1712412,Город Газган,,1712,4
212,1724410,Город Ширин,,1724,8
