,kod,tuman,markazi,viloyat,parent_id
130,1727256,Chinoz tumani,Chinoz sh.,1727,10
131,1727259,Yangiyo‘l tumani,Yangiyo‘l sh.,1727,10
132,1727265,Toshkent tumani,Keles sh.,1727,10
133,1730203,Oltiariq tumani,Oltiariq shaharchasi,1730,11
134,1730206,Qo‘shtepa tumani,Langar a.p.,1730,11
135,1730209,Bog‘dod tumani,Bog‘dod shaharchasi,1730,11
136,1730212,Buvayda tumani,Ibrat shaharchasi,1730,11
137,1730215,Beshariq tumani,Beshariq sh.,1730,11
138,1730218,Quva tumani,Quva sh.,1730,11
139,1730221,Uchko‘prik tumani,Uchko‘prik shaharchasi,1730,11
140,1730224,Rishton tumani,Rishton sh.,1730,11
141,1730226,So‘x tumani,Ravon shaharchasi,1730,11
142,1730227,Toshloq tumani,Toshloq shaharchasi,1730,11
143,1730230,O‘zbekiston tumani,Yaypan sh.,1730,11
144,1730233,Farg‘ona tumani,Chimyon shaharchasi,1730,11
145,1730236,Dang‘ara tumani,Dang‘ara shaharchasi,1730,11
146,1730238,Furqat tumani,Navbahor shaharchasi,1730,11
147,1730242,Yozyovon tumani,Yozyovon shaharchasi,1730,11
148,1733204,Bog‘ot tumani,Bog‘ot shaharchasi,1733,12
149,1733208,Gurlan tumani,Gurlan shaharchasi,1733,12
150,1733212,Qo‘shko‘pir tumani,Qo‘shko‘pir shaharchasi,1733,12
151,1733217,Urganch tumani,Qoroul a.p.,1733,12
152,1733220,Xazorasp tumani,Xazorasp shaharchasi,1733,12
153,1733221,Tuproqqal’a tumani,Pitnak shahri,1733,12
154,1733223,Xonqa tumani,Xonqa shaharchasi,1733,12
155,1733226,Xiva tumani,Xiva sh.,1733,12
156,1733230,Shovot tumani,Shovot shaharchasi,1733,12
157,1733233,Yangiariq tumani,Yangiariq shaharchasi,1733,12
158,1733236,Yangibozor tumani,Yangibozor shaharchasi,1733,12
159,1735204,Amudaryo tumani,Mang‘it sh.,1735,13
160,1735207,Beruniy tumani,Beruniy sh.,1735,13
161,1735209,Bo‘zatov tumani,Bo‘zatov shaharchasi,1735,13
162,1735211,Qorao‘zak tumani,Qorao‘zak shaharchasi,1735,13
163,1735212,Kegeyli tumani,Kegeyli shaharchasi,1735,13
164,1735215,Qo‘ng‘irot tumani,Qo‘ng‘irot sh.,1735,13
165,1735218,Qanliko‘l tumani,Qanliko‘l shaharchasi,1735,13
166,1735222,Mo‘ynoq tumani,Mo‘ynoq sh.,1735,13
167,1735225,Nukus tumani,Oqmang‘it shaharchasi,1735,13
168,1735228,Taxiatosh tumani,Taxiatosh sh.,1735,13
169,1735230,Taxtako‘pir tumani,Taxtako‘pir shaharchasi,1735,13
170,1735233,To‘rtko‘l tumani,To‘rtko‘l sh.,1735,13
171,1735236,Xo‘jayli tumani,Xo‘jayli sh.,1735,13
172,1735240,Chimboy tumani,Chimboy sh.,1735,13
173,1735243,Shumanay tumani,Shumanay sh.,1735,13
174,1735250,Ellikkala tumani,Bo‘ston sh.,1735,13
175,1718406,Kattaqo‘rg‘on shahar,,1718,6
176,1727404,Olmaliq shahar,,1727,10
177,1727413,Bekobod shahar,,1727,10
178,1714367,Yangi Namangan tumani,,1714,5
179,1718401,Samarqand shahar,,1718,6
180,1714365,Davlatobod tumani,,1714,5
181,1727401,Nurafshon shahar,,1727,10
182,1714401,Namangan shahar,,1714,5
183,1726292,Yangixayot rayoni,,1726,9
184,1724401,Guliston shahar,,1724,8
185,1708401,Jizzax shahar,,1708,2
186,1735401,Nukus shahar,,1735,13
187,1730401,Farg‘ona shahar,,1730,11
188,1730405,Qo‘qon shahar,,1730,11
189,1730408,Quvasoy shahar,,1730,11
190,1710401,Qarshi shahar,,1710,3
191,1706401,Buxoro shahar,,1706,1
192,1722401,Termiz shahar,,1722,7
193,1710405,Shahrisabz shahar,,1710,3
194,1735250,Yellikkala tumani,,1735,13
195,1703401,Andijon shahar,,1703,0
196,1727407,Angren shahar,,1727,10
197,1727419,Chirchiq shahar,,1727,10
198,1727233,Qiyichirchiq tumani,,1727,10
199,1733401,Urganch shahar,,1733,12
200,1733221,Tuproqqal'a tumani,,1733,12
201,1712408,Zarafshon shahar,,1712,4
202,1712401,Navoiy shahar,,1712,4
203,1706403,Kogon shahar,,1706,1
204,1712248,Uchkuduq shahar,,1712,4
205,1730412,Marg‘ilon shahar,,1730,11
206,1727424,Yangiyo‘l shahar,,1727,10
207,1703408,Xonobod shahar,,1703,0
208,1727415,Ohangaron shahar,,1727,10
209,1733406,Xiva shahar,,1733,12
210,1724413,Yangier shahar,,1724,8
211,1712412,G‘ozg‘on shahar,,1712,4
212,1724410,Shirin shahar,,1724,8
