,махаля,region_id,district_id
309,ЯККАТУТ,7,84
310,ҚУМПАЙКАЛ,7,84
311,ОБОД ВАХШИВОР,7,84
312,ЗАРДАҚУЛ,7,84
313,ҚЎШАРЧА,7,84
314,ЧИНОР,7,84
315,СОҲИБКОР,7,84
316,ШАБНАМ,7,93
317,ДАШТИҒОЗ,7,87
318,ДУОБА,7,87
319,ИНКАБОД,7,87
320,ШИРИНОБОД,7,87
321,БОШРАБОТ,7,87
322,КЎЧКАК,7,87
323,АВЛОД,7,87
324,ТЎДА,7,87
325,ДАРБАНД,7,87
326,ХЎЖАБУЛҒОН,7,87
327,САЙРОБ,7,87
328,МУНЧОҚ,7,87
329,ҚИЗИЛНАВР,7,87
330,ШЎРСОЙ,7,87
331,ТОҒЧИ,7,87
332,ПОЙГАБОШИ,7,87
333,КОСИБЛАР,7,87
334,БОЙҚИШЛОҚ,7,96
335,ГУЛОБОД,7,93
336,ТЕМИРЙЎЛЧИЛАР,6,179
337,НАВБАҲОР,8,184
338,ЧОШ,7,93
339,ГУМБАЗ,5,65
340,ИСТИҚЛОЛ,5,65
341,МИРЗАРОВОТ,5,65
342,ҚУМТЕПА,5,65
343,БЎСТОН,5,65
344,КЎКБУЛОҚ,2,27
345,ИСТИҚЛОЛ,2,35
346,ИТТИФОҚ,2,185
347,БУНЁДКОР,2,185
348,ТИНЧЛИК,2,185
349,ОЛМАЗОР,2,185
350,БИНОКАР,9,183
351,ЯНГИ  ЧОШТЕПА,9,183
352,ВИҚОР,9,183
353,ДЎСТЛИК,9,183
354,СУҒДИЁНА,9,113
355,НИЛУФАР,9,113
356,ҚИПЧОҚ,9,113
357,ЁШЛИК,10,121
358,КЎК ТЎНЛИ,10,121
359,ИСТИҚЛОЛ,10,121
360,Т ДАДАБОЙЕВ,10,121
361,ЧИМГАН,10,121
362,ИСТИҚЛОЛ,12,152
363,М.М.ХОРАЗМИЙ,10,124
364,ХАРАКАТ,10,124
365,ҚИРГУЗАР,10,124
366,АХИЛОБОД,10,124
367,ҚУМБИЗ АШИЛ,13,186
368,БЎСТОН,10,124
369,ИСТИҚЛОЛ,10,124
370,ФАЙЗЛИ,9,183
371,ИБРАТ,10,124
372,АЛИМБУВА,10,124
373,БОҒИШАМОЛ,10,124
374,ИЛҒОР,10,124
375,ШОДЛИК,10,124
376,МАДАНИЯТ,10,124
377,ОБОД,5,64
378,АБДУЛЛА ҚАҲҲОР,5,63
379,А.НАВОИЙ,5,63
380,ОҚ МАЙДОН,12,152
381,НАВҚИРОН,5,61
382,ПАСТ ҚИЁТ,5,61
383,ТЕПА ҚИЁТ,5,61
384,ПОРЛОҚ,5,180
385,ЎРТА РОВУСТОН,5,180
386,ЎРТА ҒИРВОН,5,180
387,ХОНОБОД,12,150
388,ДУРДОНА,12,150
389,ЗАРБДОР,12,150
390,ҚОРАМОН,12,150
391,НЕЗАХОС,12,150
392,КЕНАГАС,12,150
393,ИҚБОЛ,12,150
394,АҲМАД ЯССАВИЙ,0,8
395,КЎНЧИЛИК,0,8
396,МИРЗО УЛУҒБЕК,0,8
397,МУСТАҚИЛЛИКНИНГ 15 ЙИЛЛИГИ,0,8
398,СОҲИБҚИРОН,0,8
399,НАВОИЙ,0,8
400,ЮҚОРИ,0,12
401,БОБУР,0,12
402,ГУЛИСТОН,6,82
403,ШОДЛИК,6,82
404,БОҒИШАМОЛ,6,82
405,ЧОРРАҲА,6,82
406,КУМУШКЕНТ,6,70
407,ПИЧОҚЧИ,6,70
408,ЯНГИОБОД,6,70
409,ОҚДАРЁ,6,70
410,ДАҲБЕД,6,70
411,ПАХТАОБОД,6,70
412,ТАРАҚҚИЁТ,6,70
413,ГАЛАРАВОТ,6,70
414,ЛОЙИШ,6,70
415,ЎЗБЕКИСТОН,6,70
416,ЯНГИҚИШЛОҚ,6,70
417,ЯНГИҲАЁТ,6,70
418,А.ТЕМУР,6,70
419,ТЕМИРАК,6,70
420,АВАЗАЛИ,6,70
421,БЎДАНА,6,71
422,ЯНГИҚЎРҒОН,6,71
423,ЧАНГАЛ-1,6,71
424,ХУВАЙДО,11,187
425,МУРУВВАТ,11,187
426,КИМЁГАР,11,187
427,ЮЛДУЗ,11,187
428,38-СОВУРБУЛОҚ,11,187
429,БЕШТА,12,152
430,ШИРИН ҚУДУҚ,12,152
431,ЗЕҲНЛИ,12,152
432,КАТТА ТОШБУЛОҚ,5,61
433,ЧОРБОҒ,5,61
434,КИЧИК ҚУРАМА,5,61
435,ИБРАТ,5,61
436,ЙЕЛХОН,5,180
437,БИРЛАШГАН,5,64
438,ИБРАТ,5,64
439,ЧАНГИР,4,58
440,МИЁНҚОЛ,4,58
441,ЯНГИРАБОД,4,58
442,САРОЙ,4,58
443,МУСТАҚИЛЛИК,4,58
444,БИНОКОР,4,58
445,ЖАЛОЙИР,4,58
446,ФИДОКОР,4,58
447,ОЛМАЗОР,4,58
448,ЯНГИ ХАЁТ,7,88
449,ОРИЯТ,7,88
450,НУРЛИ ҲАЁТ,7,88
451,ЙЎЛЧИ,7,88
452,ЯНГИ ЙЕР,7,88
453,ДАРБАНД,7,88
454,ЯНГИ ДИЁР,7,88
455,ШАФФОФ,7,88
456,ФАЙЗИОБОД,7,88
457,ЧЕГАРАЧИ,7,88
458,БОҒИ ЕРАМ,7,88
459,ЧИНОР,7,95
460,ОҚ ОСТОНА,7,95
461,ДЕҲҚОН,7,95
462,ЯНГИ КУЧ,7,95
463,ЯМГИ ШАҲАР,7,95
464,ТОМЧИ,7,95
465,ОБИЗАРАНГ,7,95
466,МАЛАНДИЁН,7,95
467,ГУЛИСТОН,7,95
468,ЯНГИ РЎЗҒОР,7,95
469,ЯНГИОБОД,7,95
470,ФАЙЗОВА,7,95
471,ФАЙЗОБОД,7,95
472,ОКМАЧИТ,7,95
473,НАВРЎЗ,7,95
474,ЕРКИНЛИК,7,95
475,БОҲОРИСТОН,7,95
476,ЖАЛОЙИР,11,146
477,ЖИЛИБУЛОҚ,7,84
478,ШОХЧА,7,84
479,ХЎЖАЙПОК,7,84
480,ЯНГИАРИҚ,7,84
481,НАВРЎЗ,7,84
482,ҚАЛъАИ ПОЁН,5,68
483,АРИҚБЎЙИ,5,68
484,БОЗОРБОШИ,5,68
485,БУЛОҚБОШИ,5,68
486,ҒОВАСОЙ СОҲИЛИ,5,68
487,ЙЕТТИҚЎРҒОН,5,68
488,ЗВУТҚАНД,5,68
489,КЎЧА,5,68
490,ҚОРАКАПА,5,68
491,МАШҲАД,5,68
492,САРҚАМИШ-МИРЗАОБОД,5,68
493,ТИНЧЛИК,5,68
494,ТОЙМАСОБОД,5,68
495,ЮҚОРИ,5,68
496,САДАЧА,5,68
497,ЁРҚИШЛОҚ,5,68
498,БОФАНДА,5,68
499,ЙЎТМОС,5,68
500,ҚАЙИРМА,5,68
501,МАДАНИЯТ,4,58
502,ҚЎРҒОНЧА,4,58
503,КОРИЗ АРАБ,4,58
504,ДЕҲҚОНОБОД,4,58
505,БУНЁДКОР,4,58
506,АНГИДОН,4,58
507,УЧҚОРА,4,58
508,УЙШУН,4,58
509,ОЛТИНСОЙ,4,58
510,ОЛТИНОБОД,4,58
511,НАВБАҲОР,4,58
512,ГУЗАР,0,2
513,МУАЗЗИМБОЙ,0,12
514,З.ХАБИБИЙ,0,12
515,НАВРЎЗ,0,12
516,ТИНЧЛИК,0,12
517,ТЕРАКТАГИ,0,12
518,СОХИЛ БЎЙИ,0,12
519,ОВУШҚА,0,12
520,АНДИЖОН,0,12
521,БЎСТОНОБОД,0,12
522,ҚАЙИР,0,12
523,НУРДИЁР,0,12
524,ТЎРАОБОД,0,12
525,ФАЙЗИОБОД,0,12
526,БОДРОҒОБОД,0,12
527,ДЎНГҚИШЛОҚ,0,12
528,ЗИЁЛИ,0,12
529,ЛОЛАЗОР,0,12
530,ОЛМАЗОР,0,12
531,ПУШМОН,0,12
532,ИҚТИСОДЧИ,0,8
533,ЁРТИБОШ,0,8
534,ОҚТОШ,6,71
535,НИЁЗМАТ,6,71
536,НЕБЎСА,6,71
537,ИСТИҚЛОЛ,6,71
538,БУЛУНҒУР,6,71
539,МЕХРЖОН,6,71
540,ҚИРҚШОДИ,6,71
541,ДЕҲҚОНОБОД,6,71
542,КИЛДОН,6,71
543,ЕЛОБОД,6,71
544,САХОВАТ,6,71
545,ДЎСТЛИК,6,71
546,ЯНГИАРИҚ,6,71
547,МИНГТЕПА,6,71
548,ОЛМАЗОР,6,71
549,ФОЗИЛ ЙЎЛДОШ,6,71
550,ГУЛИСТОН,6,71
